carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,type,manufacturer,model,engines,seats,engine,arr_delay
US,2148,N961UW,LGA,BOS,38.0,184,13,0,66.02,42.98,43.13,260.0,13.80936,,0.0,1008.1,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
UA,1078,N76517,EWR,SAT,242.0,1569,16,44,37.04,19.94,49.62,250.0,17.2617,25.31716,0.0,1014.8,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
US,1831,N539UW,JFK,CLT,85.0,541,8,25,43.88,28.94,55.4,260.0,11.5078,,0.0,1023.1,10.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,Turbo-fan,0.0
MQ,4413,N725MQ,LGA,XNA,177.0,1147,18,0,50.0,41.0,71.07,180.0,14.96014,21.86482,0.0,1016.5,10.0,,,,,,,0.0
UA,1532,N14242,EWR,SFO,336.0,2565,20,29,73.04,55.04,53.24,190.0,11.5078,,0.0,1023.7,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
UA,1186,N24715,EWR,MIA,172.0,1085,14,45,39.02,24.08,54.68,330.0,12.65858,18.41248,0.0,1006.1,10.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,1.0
UA,161,N17133,JFK,LAX,338.0,2475,15,40,39.02,24.98,56.77,140.0,6.90468,,0.0,1008.0,10.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,Turbo-jet,0.0
B6,583,N665JB,JFK,MCO,131.0,944,6,5,75.92,71.96,87.55,240.0,8.05546,,0.0,1023.5,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
B6,2,N236JB,JFK,BUF,65.0,301,6,30,55.94,53.06,90.03,140.0,9.20624,,0.03,1026.3,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,1.0
9E,3325,N935XJ,JFK,DFW,196.0,1391,18,34,59.0,51.98,77.49,250.0,5.7539,,0.0,1005.8,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
B6,795,N662JB,JFK,AUS,210.0,1521,9,29,80.96,64.94,58.25,240.0,3.45234,,0.0,1022.2,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
US,2175,N723UW,LGA,DCA,46.0,214,10,0,55.4,41.0,59.04,,3.45234,,0.0,,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-112,2.0,179.0,Turbo-fan,0.0
DL,325,N972DL,LGA,ATL,115.0,762,18,59,48.92,33.08,54.15,0.0,0.0,,0.0,1014.4,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,0.0
EV,4471,N14105,EWR,CLT,86.0,529,6,40,64.04,62.06,93.28,190.0,3.45234,,0.0,1009.6,10.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,1.0
FL,348,N981AT,LGA,ATL,99.0,762,13,10,80.96,60.08,49.09,220.0,13.80936,21.86482,0.0,1004.2,10.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,Turbo-fan,1.0
DL,2143,N3752,JFK,ATL,119.0,760,15,45,66.02,26.96,22.8,280.0,24.16638,,0.0,1006.0,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,1.0
EV,4255,N13955,EWR,CHS,116.0,628,10,4,62.96,42.08,46.37,330.0,9.20624,,0.0,1024.2,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
DL,1685,N968DL,LGA,MCO,129.0,950,13,0,64.04,28.94,26.5,300.0,8.05546,,0.0,1027.7,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,1.0
AA,1185,N3EDAA,LGA,DFW,202.0,1389,17,55,53.06,26.96,36.22,220.0,12.65858,21.86482,0.0,1017.1,10.0,,,,,,,0.0
EV,6181,N16981,EWR,IAD,48.0,212,14,50,64.94,51.08,60.77,30.0,11.5078,,0.0,1027.7,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,806,N526UA,EWR,LAX,306.0,2454,10,13,80.96,71.6,78.62,260.0,9.20624,,0.0,,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
9E,3507,N921XJ,JFK,MSY,168.0,1182,8,0,46.04,35.06,65.32,30.0,10.35702,,0.0,1029.9,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,0.0
MQ,4573,N738MQ,LGA,DTW,78.0,502,21,5,51.98,42.08,68.86,140.0,5.7539,,0.0,1029.1,10.0,,,,,,,0.0
DL,575,N990AT,EWR,ATL,111.0,746,6,30,57.92,48.92,71.9,220.0,12.65858,17.2617,0.0,1004.4,10.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,Turbo-fan,1.0
B6,53,N768JB,JFK,PBI,141.0,1028,10,29,84.02,69.08,60.87,230.0,10.35702,,0.0,1017.2,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
B6,71,N807JB,JFK,TPA,172.0,1005,6,0,26.06,14.0,59.81,340.0,12.65858,,0.0,1022.5,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
MQ,3357,N520MQ,LGA,ATL,,762,16,30,41.0,37.94,88.76,350.0,8.05546,23.0156,0.28,998.7,1.5,,,,,,,
EV,5736,N829AS,LGA,IAD,44.0,229,10,5,62.6,57.2,83.54,40.0,5.7539,,0.0,,2.5,Fixed wing multi engine,CANADAIR,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
EV,4187,N15980,EWR,BNA,109.0,748,17,25,78.08,53.96,43.26,150.0,10.35702,16.11092,0.0,1018.9,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
DL,423,N702TW,JFK,LAX,357.0,2475,12,0,51.08,33.98,51.81,110.0,10.35702,,0.0,1033.6,10.0,Fixed wing multi engine,BOEING,757-2Q8,2.0,178.0,Turbo-fan,1.0
9E,4065,N820AY,LGA,SDF,100.0,659,9,38,62.06,39.02,42.51,310.0,11.5078,,0.0,1017.8,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
US,1873,N184US,LGA,CLT,84.0,544,18,53,75.92,46.04,34.61,310.0,6.90468,,0.0,1018.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2.0,199.0,Turbo-jet,0.0
EV,5273,N754EV,LGA,PIT,64.0,335,11,15,51.08,46.94,87.28,180.0,10.35702,,0.0,,4.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
UA,316,N456UA,EWR,TPA,130.0,997,6,0,53.96,48.92,83.0,190.0,4.60312,,0.0,1019.6,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
DL,2370,N355NB,LGA,PBI,141.0,1035,19,25,21.2,15.98,80.55,240.0,8.05546,,0.01,,1.5,Fixed wing multi engine,AIRBUS,A319-114,2.0,145.0,Turbo-fan,1.0
AA,179,N327AA,JFK,SFO,355.0,2586,10,30,48.92,30.92,49.64,330.0,17.2617,,0.0,1020.4,10.0,Fixed wing multi engine,BOEING,767-223,2.0,255.0,Turbo-fan,1.0
FL,348,N281AT,LGA,ATL,120.0,762,13,10,78.98,59.0,50.39,160.0,12.65858,19.56326,0.0,1020.0,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A340-313,4.0,375.0,Turbo-jet,1.0
UA,1160,N78524,EWR,BOS,35.0,200,16,21,66.02,57.92,75.12,130.0,10.35702,,0.0,1018.1,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
US,1857,N566UW,LGA,CLT,76.0,544,18,55,91.04,64.94,42.21,290.0,8.05546,,0.0,1023.6,10.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,Turbo-fan,0.0
UA,311,N460UA,EWR,DEN,218.0,1605,6,42,30.02,17.06,58.08,340.0,12.65858,,0.0,1007.3,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
9E,3650,N8501F,JFK,PHL,21.0,94,19,35,39.92,28.04,62.21,350.0,14.96014,,0.0,1021.0,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
AA,361,N3EJAA,LGA,ORD,104.0,733,19,20,87.98,66.92,49.79,220.0,13.80936,20.71404,0.0,1021.0,10.0,,,,,,,0.0
UA,1627,N73406,EWR,PBI,152.0,1023,17,5,66.02,17.96,15.61,300.0,8.05546,,0.0,1027.1,10.0,Fixed wing multi engine,BOEING,737-924,2.0,191.0,Turbo-fan,0.0
MQ,3768,N0EGMQ,EWR,ORD,127.0,719,6,0,26.06,10.04,50.2,300.0,17.2617,23.0156,0.0,1016.7,10.0,,,,,,,0.0
DL,2280,N383DN,JFK,FLL,144.0,1069,15,30,75.02,44.96,34.24,0.0,0.0,,0.0,1018.0,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,1.0
WN,283,N220WN,LGA,MKE,133.0,738,12,30,53.96,41.0,61.41,330.0,18.41248,27.61872,0.0,1018.3,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,1.0
UA,1299,N39297,EWR,RSW,158.0,1068,7,15,51.8,51.8,100.0,290.0,6.90468,,0.0,,2.5,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
MQ,3044,N908MQ,JFK,BWI,,184,18,29,73.94,69.98,87.45,180.0,12.65858,,0.0,1005.9,7.0,,,,,,,
DL,2395,N313US,LGA,PBI,135.0,1035,8,5,80.06,64.04,58.14,200.0,13.80936,,0.0,1010.8,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2.0,182.0,Turbo-jet,0.0
DL,2285,N359NW,LGA,MCO,136.0,950,7,0,64.94,60.08,84.26,290.0,4.60312,,0.0,1006.7,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2.0,182.0,Turbo-fan,0.0
AA,179,N320AA,JFK,SFO,355.0,2586,10,30,64.94,42.08,43.26,330.0,6.90468,,0.0,1014.7,10.0,Fixed wing multi engine,BOEING,767-223,2.0,255.0,Turbo-fan,1.0
US,604,N675AW,EWR,PHX,261.0,2133,10,29,66.02,55.94,69.94,0.0,0.0,,0.0,1022.8,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
9E,4127,N8888D,JFK,IAD,38.0,228,20,30,78.08,71.96,81.5,200.0,8.05546,,0.0,1016.1,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
EV,5293,N712EV,LGA,ORF,61.0,296,16,35,41.0,35.6,80.93,330.0,20.71404,31.07106,0.02,,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
AA,1901,N3AJAA,JFK,IAH,211.0,1417,17,25,55.04,44.96,68.73,130.0,13.80936,,0.0,1011.6,10.0,,,,,,,1.0
9E,3385,N915XJ,JFK,BOS,35.0,187,19,30,75.02,53.96,47.89,20.0,12.65858,,0.0,1012.5,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
US,656,N604AW,EWR,PHX,299.0,2133,16,35,44.96,15.98,30.79,280.0,12.65858,,0.0,1008.7,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,1.0
YV,2729,N923FJ,LGA,CLT,80.0,544,11,36,75.92,59.0,55.77,50.0,10.35702,,0.0,1019.2,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
DL,1947,N641DL,LGA,ATL,113.0,762,12,0,48.92,30.02,47.86,330.0,4.60312,,0.0,1000.6,10.0,Fixed wing multi engine,BOEING,757-232,2.0,178.0,Turbo-fan,0.0
9E,3459,N915XJ,JFK,BNA,118.0,765,16,5,42.98,23.0,44.83,340.0,6.90468,,0.0,1021.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,0.0
B6,381,N547JB,LGA,FLL,156.0,1076,19,40,33.08,14.0,44.92,260.0,11.5078,19.56326,0.0,1019.4,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
VX,11,N854VA,JFK,SFO,348.0,2586,7,40,69.98,66.02,87.26,260.0,6.90468,,0.0,1005.0,10.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,Turbo-fan,0.0
EV,5429,N753EV,LGA,GSO,71.0,461,17,10,35.06,15.08,43.52,330.0,11.5078,,0.0,1038.2,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,0.0
UA,471,N850UA,EWR,BOS,35.0,200,14,50,60.8,48.2,64.35,90.0,8.05546,,0.0,,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,1.0
AA,320,N477AA,EWR,DFW,182.0,1372,15,15,71.96,39.02,30.18,200.0,5.7539,,0.0,1023.1,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2.0,172.0,Turbo-fan,0.0
US,2095,N124US,EWR,CLT,78.0,529,13,15,69.8,66.2,89.98,90.0,10.35702,,0.0,,2.5,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2.0,182.0,Turbo-fan,0.0
DL,1231,N324NB,LGA,DTW,78.0,502,14,40,69.98,48.92,47.13,40.0,10.35702,,0.0,1020.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2.0,145.0,Turbo-fan,0.0
DL,1275,N374DA,JFK,SLC,268.0,1990,10,55,75.02,48.02,38.43,0.0,0.0,,0.0,1020.2,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
9E,2916,N906XJ,JFK,DTW,95.0,509,7,40,46.04,44.96,95.99,180.0,4.60312,,0.0,1015.9,7.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
DL,2247,N661DN,LGA,ATL,105.0,762,13,59,39.92,19.04,42.65,310.0,20.71404,27.61872,0.0,1007.6,10.0,Fixed wing multi engine,BOEING,757-232,2.0,178.0,Turbo-fan,0.0
WN,832,N752SW,EWR,BNA,127.0,748,7,35,33.98,17.96,51.47,260.0,6.90468,,0.0,1014.0,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,0.0
AA,707,N3HFAA,LGA,DFW,199.0,1389,6,0,71.96,57.92,61.28,150.0,8.05546,,0.0,1020.5,10.0,,,,,,,1.0
EV,5181,N758EV,EWR,ATL,104.0,746,19,29,46.04,28.04,49.19,360.0,11.5078,,0.0,1009.6,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
US,675,N659AW,EWR,CLT,86.0,529,8,15,21.92,10.04,59.69,270.0,8.05546,,0.0,1032.6,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,1.0
US,2134,N963UW,LGA,BOS,33.0,184,16,0,80.96,57.02,43.99,160.0,10.35702,,0.0,1017.9,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
AA,133,N319AA,JFK,LAX,367.0,2475,15,45,50.0,35.96,58.34,160.0,9.20624,,0.0,1032.5,10.0,Fixed wing multi engine,BOEING,767-223,2.0,255.0,Turbo-fan,1.0
MQ,3572,N508MQ,LGA,CLE,62.0,419,11,59,60.08,46.04,59.72,60.0,20.71404,27.61872,0.0,1028.9,10.0,,,,,,,0.0
B6,119,N279JB,JFK,MSY,155.0,1182,14,52,60.98,60.08,96.85,150.0,14.96014,,0.0,,0.25,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
B6,1403,N521JB,JFK,SJU,211.0,1598,6,0,32.0,15.98,51.15,270.0,9.20624,,0.0,1034.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,1.0
EV,4118,N12563,EWR,DTW,86.0,488,12,35,86.0,59.0,40.14,60.0,4.60312,,0.0,1013.7,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,255,,LGA,ORD,,733,12,0,80.06,62.96,55.97,310.0,16.11092,,0.0,1007.3,10.0,,,,,,,
DL,2042,N935AT,EWR,ATL,114.0,746,16,45,28.4,24.8,88.73,350.0,14.96014,,0.02,,7.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,Turbo-fan,1.0
UA,1496,N76269,EWR,IAH,180.0,1400,20,11,84.02,66.92,56.51,180.0,11.5078,,0.0,1012.6,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
WN,3928,N443WN,EWR,HOU,177.0,1411,17,0,84.02,64.04,51.12,250.0,10.35702,,0.0,1015.0,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,0.0
EV,4092,N13538,EWR,DAY,79.0,533,16,11,87.08,66.02,49.66,230.0,8.05546,19.56326,0.0,1016.3,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,568,N460UA,EWR,BOS,40.0,200,16,14,71.06,39.02,31.12,0.0,0.0,,0.0,1021.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,1.0
UA,1401,N27733,EWR,MIA,148.0,1085,8,40,60.08,42.98,53.15,0.0,0.0,,0.0,1014.7,10.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,0.0
UA,399,N552UA,EWR,LAX,305.0,2454,17,28,66.92,55.94,67.79,260.0,5.7539,,0.0,1012.2,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
DL,1565,N717TW,JFK,SFO,327.0,2586,13,59,82.04,66.92,60.25,230.0,17.2617,,0.0,1010.9,10.0,Fixed wing multi engine,BOEING,757-231,2.0,178.0,Turbo-fan,0.0
UA,276,N821UA,EWR,BOS,35.0,200,10,0,64.04,51.98,64.84,90.0,4.60312,,0.0,1023.9,9.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
UA,1144,N38417,EWR,SFO,352.0,2565,6,25,32.36,30.02,90.97,290.0,5.7539,,0.0,1011.5,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,0.0
B6,917,N306JB,JFK,ORD,129.0,740,15,55,30.02,19.04,63.24,200.0,6.90468,,0.0,1029.7,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,1.0
UA,1622,N37427,EWR,ORD,112.0,719,10,10,37.04,24.98,61.35,320.0,14.96014,25.31716,0.0,1021.2,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,0.0
B6,1013,N634JB,JFK,LGB,323.0,2465,18,20,62.96,39.92,42.65,320.0,11.5078,,0.0,1015.6,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
B6,537,N794JB,EWR,TPA,154.0,997,15,17,41.0,41.0,100.0,0.0,0.0,,0.0,1007.1,0.5,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
B6,133,N794JB,JFK,RSW,148.0,1074,15,38,64.04,55.04,72.53,110.0,13.80936,,0.0,1019.7,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
EV,5026,N607LR,EWR,DTW,84.0,488,10,25,50.0,46.94,100.0,80.0,5.7539,,0.0,,1.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
EV,5207,N744EV,LGA,BGR,67.0,378,14,50,82.04,55.94,40.84,150.0,14.96014,,0.0,1016.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
DL,2126,N704X,JFK,SFO,409.0,2586,14,30,46.4,34.16,62.16,170.0,9.20624,,0.0,1022.5,10.0,Fixed wing multi engine,BOEING,757-2Q8,2.0,178.0,Turbo-fan,1.0
UA,1608,N38446,EWR,ORD,119.0,719,14,25,78.08,62.96,59.74,100.0,6.90468,,0.0,1009.7,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,1.0
UA,998,N807UA,EWR,MSY,150.0,1167,21,20,73.94,53.06,48.04,260.0,6.90468,,0.0,1014.7,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
DL,2457,N301NB,JFK,MSY,163.0,1182,19,5,59.0,53.06,80.64,190.0,13.80936,,0.0,1005.9,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2.0,145.0,Turbo-fan,0.0
UA,1152,N37471,EWR,PDX,315.0,2434,18,59,82.04,69.08,64.9,150.0,10.35702,,0.0,1002.7,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,0.0
B6,939,N796JB,JFK,BQN,193.0,1576,5,45,75.02,71.96,90.22,220.0,5.7539,,0.0,1020.7,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
B6,641,N565JB,JFK,SFO,361.0,2586,10,31,42.08,30.92,64.35,100.0,6.90468,,0.0,1030.7,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
B6,97,N580JB,JFK,DEN,197.0,1626,21,25,68.0,60.08,75.78,210.0,3.45234,,0.0,1027.6,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
UA,1281,N37409,EWR,SFO,328.0,2565,8,30,57.02,39.92,52.7,100.0,6.90468,17.2617,0.0,1027.2,10.0,Fixed wing multi engine,BOEING,737-924,2.0,191.0,Turbo-fan,1.0
DL,1174,N319NB,LGA,PBI,147.0,1035,11,45,69.98,57.02,63.45,330.0,12.65858,23.0156,0.0,1004.8,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2.0,145.0,Turbo-fan,0.0
B6,1373,N318JB,JFK,CHS,95.0,636,13,59,84.92,71.06,63.27,230.0,12.65858,,0.0,1003.2,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
B6,323,N605JB,JFK,LAX,338.0,2475,11,51,33.08,8.06,34.5,240.0,10.35702,,0.0,1031.7,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
EV,4125,N11165,EWR,GSO,70.0,445,7,43,71.96,64.04,76.13,0.0,0.0,,0.0,1012.1,9.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,0.0
UA,1246,N28457,EWR,SFO,373.0,2565,15,22,42.98,10.04,25.57,10.0,5.7539,,0.0,1034.6,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,1.0
UA,612,N577UA,EWR,DEN,236.0,1605,18,27,17.06,-4.0,38.38,300.0,8.05546,,0.0,1023.1,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,1.0
MQ,3644,N505MQ,LGA,ATL,102.0,762,10,10,66.92,46.04,46.98,30.0,8.05546,,0.0,1024.1,10.0,,,,,,,1.0
UA,398,N802UA,EWR,PDX,332.0,2434,8,4,48.02,32.0,53.63,220.0,9.20624,,0.0,1014.6,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
EV,5068,N695CA,EWR,DTW,86.0,488,6,0,71.6,69.8,94.06,200.0,8.05546,,0.0,,9.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
UA,1643,N18119,EWR,DEN,224.0,1605,9,0,41.9,24.98,50.77,290.0,12.65858,,0.0,1011.5,10.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,Turbo-jet,0.0
AA,2223,N570AA,LGA,STL,119.0,888,15,20,89.06,53.96,30.35,210.0,9.20624,,0.0,1018.9,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2.0,172.0,Turbo-fan,0.0
UA,595,N492UA,EWR,DEN,224.0,1605,11,37,32.0,30.92,95.73,340.0,13.80936,,0.13,,0.75,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
B6,86,N190JB,JFK,ROC,47.0,264,17,22,93.92,59.0,31.29,350.0,12.65858,,0.0,1020.2,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
WN,42,N904WN,LGA,HOU,210.0,1428,12,40,69.98,48.02,45.57,310.0,17.2617,25.31716,0.0,1011.2,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,0.0
UA,1408,N35271,EWR,SAN,294.0,2425,17,30,93.92,69.98,45.92,240.0,17.2617,23.0156,0.0,1013.4,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,1.0
DL,1157,N325NB,EWR,MSP,139.0,1008,8,29,71.96,66.02,81.57,240.0,8.05546,,0.0,1016.3,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2.0,145.0,Turbo-fan,0.0
MQ,4569,N711MQ,LGA,RDU,66.0,431,19,29,60.98,57.02,86.79,140.0,5.7539,,0.02,1020.6,3.0,Fixed wing multi engine,GULFSTREAM AEROSPACE,G1159B,2.0,22.0,Turbo-jet,0.0
US,1607,N945UW,LGA,PHL,38.0,96,15,40,93.02,60.98,34.52,30.0,11.5078,19.56326,0.0,1020.5,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
9E,2932,N904XJ,JFK,RDU,78.0,427,8,30,46.04,21.92,38.12,300.0,24.16638,33.37262,0.0,1016.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,0.0
UA,365,N519UA,EWR,DEN,278.0,1605,17,8,64.04,42.08,44.64,120.0,9.20624,17.2617,0.0,1015.9,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,1.0
9E,2902,N919XJ,JFK,BOS,42.0,187,12,0,48.92,24.08,37.46,320.0,21.86482,34.5234,0.0,1017.8,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
EV,5038,N748EV,LGA,BHM,137.0,866,18,58,44.96,24.08,43.49,270.0,16.11092,23.0156,0.0,1016.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
